conversation	sent_id	token_id	token
1	1	1	How
1	1	2	often
1	1	3	do
1	1	4	you
1	1	5	cook
1	1	6	meals
1	1	7	at
1	1	8	home
1	1	9	?
			
1	2	1	I
1	2	2	usually
1	2	3	cook
1	2	4	meals
1	2	5	for
1	2	6	myself
1	2	7	every
1	2	8	evening
1	2	9	.
			
1	3	1	What
1	3	2	is
1	3	3	your
1	3	4	favorite
1	3	5	dish
1	3	6	to
1	3	7	prepare
1	3	8	?
			
1	4	1	I
1	4	2	enjoy
1	4	3	making
1	4	4	a
1	4	5	simple
1	4	6	pasta
1	4	7	dish
1	4	8	with
1	4	9	homemade
1	4	10	tomato
1	4	11	sauce
1	4	12	.
			
1	5	1	Do
1	5	2	you
1	5	3	also
1	5	4	enjoy
1	5	5	baking
1	5	6	?
			
1	6	1	Yes
1	6	2	,
1	6	3	I
1	6	4	like
1	6	5	baking
1	6	6	cookies
1	6	7	and
1	6	8	cakes
1	6	9	during
1	6	10	the
1	6	11	weekends
1	6	12	.
			
1	7	1	How
1	7	2	do
1	7	3	you
1	7	4	prefer
1	7	5	to
1	7	6	organize
1	7	7	your
1	7	8	kitchen
1	7	9	?
			
1	8	1	I
1	8	2	keep
1	8	3	my
1	8	4	spices
1	8	5	on
1	8	6	a
1	8	7	spice
1	8	8	rack
1	8	9	and
1	8	10	utensils
1	8	11	in
1	8	12	labeled
1	8	13	drawers
1	8	14	.
			
1	9	1	That
1	9	2	sounds
1	9	3	organized
1	9	4	!
1	9	5	Do
1	9	6	you
1	9	7	have
1	9	8	a
1	9	9	specific
1	9	10	routine
1	9	11	for
1	9	12	washing
1	9	13	dishes
1	9	14	?
			
1	10	1	Yes
1	10	2	,
1	10	3	I
1	10	4	prefer
1	10	5	washing
1	10	6	dishes
1	10	7	by
1	10	8	hand
1	10	9	after
1	10	10	every
1	10	11	meal
1	10	12	to
1	10	13	keep
1	10	14	the
1	10	15	kitchen
1	10	16	clean
1	10	17	.
			
			
2	1	1	How
2	1	2	was
2	1	3	your
2	1	4	day
2	1	5	,
2	1	6	Mrs.
2	1	7	Thompson
2	1	8	?
			
2	2	1	It
2	2	2	was
2	2	3	quite
2	2	4	busy
2	2	5	.
2	2	6	Just
